ID,Resistance(mO),Voltage,Temperature(?),DateTime,Resistance2,Voltage2,Temperature2,DateTime2
266,5.7,3.276,0,02-12-2022 14:28,5.81,3.275,0,10-12-2022 11:26
267,5.69,3.262,0,02-12-2022 14:28,5.75,3.26,0,10-12-2022 11:26
268,5.79,3.28,0,02-12-2022 14:29,5.79,3.28,0,10-12-2022 11:26
269,5.74,3.274,0,02-12-2022 14:29,5.78,3.273,0,10-12-2022 11:26
270,5.79,3.281,0,02-12-2022 14:29,5.78,3.281,0,10-12-2022 11:26
271,5.73,3.282,0,02-12-2022 14:29,5.72,3.281,0,10-12-2022 11:26
272,5.83,3.278,0,02-12-2022 14:29,5.83,3.276,0,10-12-2022 11:26
273,5.73,3.279,0,02-12-2022 14:29,5.75,3.279,0,10-12-2022 11:27
274,5.67,3.277,0,02-12-2022 14:29,5.73,3.276,0,10-12-2022 11:27
275,5.63,3.279,0,02-12-2022 14:30,5.69,3.279,0,10-12-2022 11:27
276,5.66,3.273,0,02-12-2022 14:30,5.68,3.272,0,10-12-2022 11:27
277,5.59,3.281,0,02-12-2022 14:30,5.68,3.281,0,10-12-2022 11:27
278,5.71,3.281,0,02-12-2022 14:30,5.77,3.281,0,10-12-2022 11:27
279,5.63,3.279,0,02-12-2022 14:30,5.65,3.278,0,10-12-2022 11:27
280,5.69,3.282,0,02-12-2022 14:31,5.69,3.282,0,10-12-2022 11:27
281,5.69,3.281,0,02-12-2022 14:31,5.73,3.28,0,10-12-2022 11:28
282,5.52,3.276,0,02-12-2022 14:31,5.52,3.276,0,10-12-2022 11:28
283,5.8,3.281,0,02-12-2022 14:31,5.8,3.28,0,10-12-2022 11:28
284,5.75,3.273,0,02-12-2022 14:32,5.8,3.272,0,10-12-2022 11:28
285,5.73,3.269,0,02-12-2022 14:32,5.73,3.268,0,10-12-2022 11:28
286,5.95,3.282,0,02-12-2022 14:32,5.98,3.282,0,10-12-2022 11:29
287,5.82,3.266,0,02-12-2022 14:32,5.82,3.264,0,10-12-2022 11:29
288,5.86,3.281,0,02-12-2022 14:32,5.94,3.281,0,10-12-2022 11:29
289,5.69,3.28,0,02-12-2022 14:32,5.7,3.279,0,10-12-2022 11:29
290,5.67,3.277,0,02-12-2022 14:32,5.7,3.277,0,10-12-2022 11:29
291,5.73,3.278,0,02-12-2022 14:33,5.74,3.278,0,10-12-2022 11:29
292,5.66,3.282,0,02-12-2022 14:33,5.76,3.281,0,10-12-2022 11:29
293,5.7,3.279,0,02-12-2022 14:33,5.71,3.278,0,10-12-2022 11:30
294,5.92,3.279,0,02-12-2022 14:33,5.94,3.279,0,10-12-2022 11:30
295,5.73,3.279,0,02-12-2022 14:33,5.76,3.278,0,10-12-2022 11:30
296,5.59,3.282,0,02-12-2022 14:33,5.6,3.281,0,10-12-2022 11:30
297,5.78,3.281,0,02-12-2022 14:34,5.8,3.281,0,10-12-2022 11:30
298,5.65,3.281,0,02-12-2022 14:34,5.68,3.281,0,10-12-2022 11:30
299,5.71,3.282,0,02-12-2022 14:34,5.77,3.282,0,10-12-2022 11:30
300,5.71,3.282,0,02-12-2022 14:34,5.7,3.282,0,10-12-2022 11:30
301,5.68,3.279,0,02-12-2022 14:36,5.72,3.278,0,10-12-2022 11:32
302,5.75,3.281,0,02-12-2022 14:37,5.8,3.28,0,10-12-2022 11:32
303,5.75,3.282,0,02-12-2022 14:37,5.81,3.281,0,10-12-2022 11:32
304,5.87,3.275,0,02-12-2022 14:37,5.88,3.274,0,10-12-2022 11:32
305,5.81,3.281,0,02-12-2022 14:37,5.77,3.28,0,10-12-2022 11:32
306,5.77,3.281,0,02-12-2022 14:37,5.83,3.281,0,10-12-2022 11:33
307,5.69,3.281,0,02-12-2022 14:37,5.67,3.281,0,10-12-2022 11:33
308,5.73,3.281,0,02-12-2022 14:38,5.81,3.281,0,10-12-2022 11:33
309,5.76,3.281,0,02-12-2022 14:38,5.8,3.281,0,10-12-2022 11:33
310,5.63,3.277,0,02-12-2022 14:38,5.7,3.276,0,10-12-2022 11:33
311,5.78,3.278,0,02-12-2022 14:38,5.78,3.277,0,10-12-2022 11:33
312,5.73,3.282,0,02-12-2022 14:38,5.79,3.281,0,10-12-2022 11:33
313,5.82,3.28,0,02-12-2022 14:38,5.81,3.279,0,10-12-2022 11:34
314,5.72,3.279,0,02-12-2022 14:38,5.77,3.278,0,10-12-2022 11:34
315,5.75,3.281,0,02-12-2022 14:39,5.79,3.281,0,10-12-2022 11:34
316,5.81,3.282,0,02-12-2022 14:39,5.89,3.282,0,10-12-2022 11:34
